,,c_p,c_m,a0_m,b0_m,delta_m,s_m,a0_h,b0_h,delta_h,s_h,a0_j,b0_j,delta_j,s_j,tau_j_const,R,R_f,g_max,g_leak,tau_z,v_half_m,v_half_h,k_m,k_h,x_c_comp,x_r_comp,alpha,v_off,v_rev,v_c,tau_m_const,tau_h_const
2020_12_19_0035,211123_234800,5.721662874937515e-12,2.0457074823045518e-11,2565.5430924909924,965.7582840269225,68.39921391698884,91.45452673589345,13.487731595402327,7549.121919030342,5.672824158929646,129.2445131577719,0.4562502049010625,25028.851681862794,0.7529608921593017,221.77257135120786,0.004994572051133196,279134094.6942428,138606.42701837543,108528.99940121344,0.5362384256947869,0.00030129390436745923,18.2296988829401,65.28542359664401,5.402924442483186,6.471374887387636,0.0298888722778591,0.4345868853688538,0.7486739438429717,-0.02,27.9358100934094,-80.0,3.367087749614596e-07,0.00045043262462935005
2020_12_19_0035,211125_023929,3.785251089627819e-12,1.827175304080096e-11,3066.4439260143963,76.65315512223847,160.45601580873682,9.776859596130624,0.9761375417877983,17300.3337967935,1.225273351985358,9.816742301215873,2.282245259937405,1553.971646378752,1.7612195530039285,375.6267952360582,0.0013681827186559146,272976223.0286351,3695.1087410386294,76343.00303094146,0.5098822357783535,0.00032612408459327505,25.210418890936317,72.5540569197969,5.836142731387847,8.674819347050455,0.0148919186999106,0.8544478519510598,0.7056433426132772,-0.02,28.956402124362285,-80.0,1.131804898395219e-06,0.0008420344989934899
2020_12_19_0035,211125_153011,4.350662456367236e-12,1.6913586470752156e-11,8635.892377855977,88.7649878136522,142.878442409996,9.022401827834356,18.52349104674824,18149.531991952266,4.791242366994508,77.38572246059529,0.23546017333393618,41750.63075462855,3.8745095119506416,28.732189432686837,0.012363477845478033,281362014.5393809,7334.149224835248,91428.72997727379,0.5120144515550525,0.0003591973625941613,10.547149598655311,58.79323144064873,7.945802898805007,6.389765192125678,0.0358669956021668,0.2345038272935415,0.7007143042849205,-0.02,32.54721285703312,-80.0,1.9149378249996654e-06,0.00034474322606257036
2020_12_19_0039,211124_002757,2.2403593991026324e-13,2.00037824568932e-11,8507.24918055959,669.3118991216251,23.75990191179128,1.6529341936776487,23.584719832382586,373639.0676342916,2.15357699146865,35.92504243425517,0.33414641178134963,3361.954820431762,7.560575610873667,76.97655726164844,0.0016288172708534816,205757743.09719926,22365.585432117718,61291.37797268796,0.39866843811450997,3.269541080437195e-05,24.253223083217293,81.9029273445311,8.265927028891955,9.383494241192404,0.013842648469375,0.6927911665644547,0.7280330731028387,-0.02,27.92433344343476,-80.0,3.905264061423342e-06,0.0006281572461545282
2020_12_19_0039,211125_032709,5.593017281197748e-12,1.643161088187736e-11,32389.443155728623,281.77186577348516,19.981571228301274,9.631926763352167,2.063955634072863,18297.211972939713,11.059319749956403,20.989810920073054,1.2669520158463705,1457.7367576946317,6.74438276130877,302.9703300733532,0.0019208232704839908,247628334.65990222,13005.625965270283,6923.196307044033,0.38171056364806677,0.0004576236347397012,25.59833841057179,59.54144727314996,7.183572663933174,8.727838034778117,0.0488489857550837,0.2021049204679716,0.7499889441763817,-0.02,35.813006081700166,-80.0,2.5554794132700495e-06,0.0007364352220031129
2020_12_19_0039,211125_161914,4.412866439792312e-12,1.9385851569266928e-11,9803.447008244095,61.05480231415723,42.85472149814819,89.91980735029864,1.4449653628224286,423857.01403758774,6.206245534601909,23.44663198188168,0.14244521758830295,99707.24195108532,1.2888838104291471,31.081962114746105,0.0008962491672023724,257391203.40980867,40943.13911776692,20203.594727185788,0.3962659743591021,0.0003685234810617029,33.228763047970375,75.41875124144968,4.712114398449639,9.5187213923454,0.0112315850866585,0.0205630712123568,0.7341284427470992,-0.02,37.80286250137806,-80.0,7.396269795029897e-08,0.0014289695416358189
2020_12_21_0007,211124_010942,5.2026777198250224e-14,2.804198078616122e-11,10629.192526028477,148.48703596126614,113.58854479977846,1.3055109069624697,12.783414248243288,43805.02621258978,2.7026598177152654,35.80528560152948,3.1600535079667695,2945.097508517864,23.96253704138034,43.30238429343454,0.006458627384703848,105315560.00689644,1232163.4012424594,95608.26594789341,1.009455695582967,1.9157004333461446e-05,37.65610710309707,82.45920898535769,2.0318699123694763,8.436168743790976,0.1264680529686631,0.4324431615638326,0.7755301954478215,-0.02,27.993035999365105,-80.0,7.457636250901768e-05,0.00054946796706081
2020_12_21_0007,211125_041445,2.2478876980242144e-12,2.4273399650388148e-11,3005.7444650107823,375.20219103502893,38.410656316830284,21.849503283599326,1.98490149754985,210374.88709179865,1.0642014353979268,90.39877663103479,1.522951627962395,20652.923608929137,30.484614838493407,95.38322852106249,0.010273400742120258,105568890.27520052,37595.42455698142,62392.087877439204,1.0409745438481524,0.0002945138418732586,31.53081921769608,83.00774965829942,4.984429901340343,4.926837885439075,0.019864126098171,0.5488021589391686,0.7052974810329952,-0.02,35.5834691630953,-80.0,3.306700279362625e-06,0.001221744771303077
2020_12_21_0007,211125_170742,5.280330122452772e-13,2.5847587851234915e-11,1655.722627444243,249.63139318373138,39.33379068880011,59.46038839637077,1.5690681540097684,8148.6344621190265,5.924658554069364,202.27778319117886,0.7860305130235603,14124.253195126292,20.878600268787892,250.0632036557611,0.005532750476406628,113410917.58143261,75312.1755039953,10574.457022659248,1.0567393771437044,0.0003138687209975812,29.440510307867196,64.29357663065899,4.329049177263722,7.947966993372945,0.0112316974062282,0.6539349808675854,0.7645429283080332,-0.02,37.31340596017894,-80.0,8.877990145830609e-08,0.000606661165136991
2020_12_22_0006,211124_015044,4.862661399736364e-13,1.5318403240206837e-11,51245.65416933407,1998.9949258829456,28.603742732058468,9.43292818430998,2.000536935958737,26819.278241008244,1.0614455083175582,29.214469356709277,0.9975276148173026,8727.014579137687,4.503797328617133,99.80356759305288,0.010879715693080006,200347174.10797527,6321.483572330364,79389.81645937578,0.5404473420585049,1.8622181339419194e-05,26.52710228519583,88.93178549218469,6.364689800947916,5.197742275470152,0.0576466603102646,0.1976329368726856,0.7413159191592903,-0.02,16.76271513154238,-80.0,1.4906860173342016e-07,0.0006483064474541829
