,t,I_out
0,0.0,-14.9536
1,5e-05,-14.3433
2,0.0001,-14.3433
3,0.00015,-14.3433
4,0.0002,-14.0381
5,0.00025,-14.3433
6,0.0003,-14.3433
7,0.00035,-14.0381
8,0.0004,-14.3433
9,0.00045,-14.6484
10,0.0005,-14.6484
11,0.00055,-14.6484
12,0.0006,-14.9536
13,0.00065,-14.9536
14,0.0007,-14.9536
15,0.00075,-14.9536
16,0.0008,-14.9536
17,0.00085,-14.9536
18,0.0009,-14.3433
19,0.00095,-14.0381
20,0.001,-14.3433
21,0.00105,-14.3433
22,0.0011,-14.3433
23,0.00115,-14.3433
24,0.0012,-14.3433
25,0.00125,-14.9536
26,0.0013,-14.9536
27,0.00135,-14.9536
28,0.0014,-14.9536
29,0.00145,-15.2588
30,0.0015,-15.8691
31,0.00155,-15.8691
32,0.0016,-15.8691
33,0.00165,-15.8691
34,0.0017,-15.8691
35,0.00175,-15.8691
36,0.0018,-15.564
37,0.00185,-15.564
38,0.0019,-15.564
39,0.00195,-15.2588
40,0.002,-14.9536
41,0.00205,-14.9536
42,0.0021,-14.6484
43,0.00215,-15.2588
44,0.0022,-15.8691
45,0.00225,-15.564
46,0.0023,-15.8691
47,0.00235,-16.1743
48,0.0024,-15.8691
49,0.00245,-16.1743
50,0.0025,-15.8691
51,0.00255,-15.564
52,0.0026,-15.564
53,0.00265,-16.1743
54,0.0027,-15.8691
55,0.00275,-15.8691
56,0.0028,-15.8691
57,0.00285,-15.8691
58,0.0029,-15.8691
59,0.00295,-16.1743
60,0.003,-15.8691
61,0.00305,-16.1743
62,0.0031,-16.4795
63,0.00315,-16.1743
64,0.0032,-16.4795
65,0.00325,-17.0898
66,0.0033,-16.4795
67,0.00335,-17.0898
68,0.0034,-17.0898
69,0.00345,-16.7847
70,0.0035,-17.0898
71,0.00355,-17.0898
72,0.0036,-16.7847
73,0.00365,-16.4795
74,0.0037,-16.7847
75,0.00375,-16.4795
76,0.0038,-16.4795
77,0.00385,-16.1743
78,0.0039,-16.4795
79,0.00395,-7.62939
80,0.004,36.0107
81,0.00405,93.0786
82,0.0041,137.329
83,0.00415,159.607
84,0.0042,162.354
85,0.00425,151.978
86,0.0043,133.972
87,0.00435,113.22
88,0.0044,94.2993
89,0.00445,77.8198
90,0.0045,65.3076
91,0.00455,55.8472
92,0.0046,48.8281
93,0.00465,43.6401
94,0.0047,39.978
95,0.00475,37.2314
96,0.0048,34.4849
97,0.00485,32.3486
98,0.0049,30.5176
99,0.00495,28.9917
100,0.005,27.1606
101,0.00505,25.6348
102,0.0051,23.4985
103,0.00515,21.3623
104,0.0052,20.1416
105,0.00525,18.3105
106,0.0053,16.7847
107,0.00535,15.2588
108,0.0054,13.7329
109,0.00545,12.5122
110,0.0055,11.2915
111,0.00555,10.376
112,0.0056,9.15527
113,0.00565,7.93457
114,0.0057,7.32422
115,0.00575,6.10352
116,0.0058,4.88281
117,0.00585,4.27246
118,0.0059,3.66211
119,0.00595,2.44141
120,0.006,1.83105
121,0.00605,0.915527
122,0.0061,0.305176
123,0.00615,0.0
124,0.0062,-0.610352
125,0.00625,-1.2207
126,0.0063,-1.83105
127,0.00635,-1.83105
128,0.0064,-2.44141
129,0.00645,-3.05176
130,0.0065,-3.35693
131,0.00655,-3.96729
132,0.0066,-4.27246
133,0.00665,-4.88281
134,0.0067,-5.18799
135,0.00675,-5.49316
136,0.0068,-5.79834
137,0.00685,-5.79834
138,0.0069,-6.71387
139,0.00695,-7.01904
140,0.0069999999999999,-6.40869
141,0.00705,-7.32422
142,0.0071,-7.93457
143,0.00715,-7.93457
144,0.0072,-8.23975
145,0.00725,-8.54492
146,0.0073,-8.54492
147,0.00735,-8.54492
148,0.0074,-8.54492
149,0.00745,-8.54492
150,0.0075,-8.23975
151,0.00755,-8.54492
152,0.0076,-8.8501
153,0.00765,-8.8501
154,0.0077,-8.8501
155,0.00775,-9.15527
156,0.0078,-9.76563
157,0.00785,-9.76563
158,0.0079,-9.76563
159,0.00795,-9.76563
160,0.008,-10.0708
161,0.00805,-10.376
162,0.0081,-10.376
163,0.00815,-10.0708
164,0.0082,-10.376
165,0.00825,-10.376
166,0.0083,-10.0708
167,0.00835,-9.76563
168,0.0084,-10.0708
169,0.00845,-10.0708
170,0.0085,-9.76563
171,0.00855,-10.0708
172,0.0086,-10.0708
173,0.00865,-9.76563
174,0.0087,-10.0708
175,0.00875,-10.376
176,0.0088,-9.46045
177,0.00885,-10.0708
178,0.0089,-10.376
179,0.00895,-10.6812
180,0.009,-11.2915
181,0.00905,-11.5967
182,0.0091,-11.9019
183,0.00915,-12.5122
184,0.0092,-12.5122
185,0.00925,-12.207
186,0.0093,-12.207
187,0.00935,-12.207
188,0.0094,-11.9019
189,0.00945,-11.9019
190,0.0095,-11.5967
191,0.00955,-11.5967
192,0.0096,-11.9019
193,0.00965,-11.5967
194,0.0097,-11.5967
195,0.00975,-11.5967
196,0.0098,-11.2915
197,0.00985,-11.9019
198,0.0099,-12.207
199,0.00995,-11.9019
200,0.01,-12.207
201,0.01005,-12.5122
202,0.0101,-12.207
203,0.01015,-12.207
204,0.0102,-12.207
205,0.01025,-12.207
206,0.0103,-12.8174
207,0.01035,-12.8174
208,0.0104,-12.5122
209,0.01045,-12.5122
210,0.0105,-12.5122
211,0.01055,-12.5122
212,0.0106,-12.5122
213,0.01065,-11.9019
214,0.0107,-12.5122
215,0.01075,-12.5122
216,0.0108,-12.207
217,0.01085,-12.5122
218,0.0109,-12.5122
219,0.01095,-12.8174
220,0.011,-13.1226
221,0.01105,-13.1226
222,0.0111,-12.5122
223,0.01115,-13.1226
224,0.0112,-13.4277
225,0.01125,-13.1226
226,0.0113,-13.1226
227,0.01135,-13.4277
228,0.0114,-13.1226
229,0.01145,-13.4277
230,0.0115,-13.1226
231,0.01155,-13.1226
232,0.0116,-13.4277
233,0.01165,-13.7329
234,0.0117,-13.7329
235,0.01175,-14.0381
236,0.0118,-13.7329
237,0.01185,-13.4277
238,0.0119,-14.0381
239,0.01195,-13.4277
240,0.012,-13.1226
241,0.01205,-13.4277
242,0.0121,-13.4277
243,0.01215,-13.7329
244,0.0122,-14.0381
245,0.01225,-14.0381
246,0.0123,-14.6484
247,0.01235,-14.6484
248,0.0124,-14.3433
249,0.01245,-14.3433
250,0.0125,-14.3433
251,0.01255,-14.0381
252,0.0126,-14.0381
253,0.01265,-14.0381
254,0.0127,-14.0381
255,0.01275,-14.3433
256,0.0128,-14.0381
257,0.01285,-14.3433
258,0.0129,-14.0381
259,0.01295,-14.3433
260,0.013,-14.0381
261,0.01305,-14.0381
262,0.0131,-14.0381
263,0.01315,-13.7329
264,0.0132,-14.0381
265,0.01325,-14.0381
266,0.0133,-14.3433
267,0.01335,-13.7329
268,0.0134,-13.7329
269,0.01345,-13.4277
270,0.0135,-12.8174
271,0.01355,-12.8174
272,0.0136,-12.8174
273,0.01365,-13.1226
274,0.0137,-13.4277
275,0.01375,-13.4277
276,0.0138,-13.4277
277,0.01385,-13.1226
278,0.0139,-13.7329
279,0.01395,-13.4277
280,0.0139999999999999,-13.4277
281,0.01405,-13.4277
282,0.0141,-13.4277
283,0.01415,-13.1226
284,0.0142,-13.1226
285,0.01425,-12.207
286,0.0143,-12.207
287,0.01435,-12.5122
288,0.0144,-12.207
289,0.01445,-12.207
290,0.0145,-12.207
291,0.01455,-12.207
292,0.0146,-12.5122
293,0.01465,-12.5122
294,0.0147,-12.5122
295,0.01475,-12.207
296,0.0148,-12.5122
297,0.01485,-12.207
298,0.0149,-11.9019
299,0.01495,-11.9019
300,0.015,-11.9019
301,0.01505,-11.9019
