,t,w
0,0.0,1.0
1,5e-05,1.0
2,0.0001,1.0
3,0.00015,1.0
4,0.0002,1.0
5,0.00025,1.0
6,0.0003,1.0
7,0.00035,1.0
8,0.0004,1.0
9,0.00045,1.0
10,0.0005,1.0
11,0.00055,1.0
12,0.0006,1.0
13,0.00065,1.0
14,0.0007,1.0
15,0.00075,1.0
16,0.0008,1.0
17,0.00085,1.0
18,0.0009,1.0
19,0.00095,1.0
20,0.001,1.0
21,0.00105,1.0
22,0.0011,1.0
23,0.00115,1.0
24,0.0012,1.0
25,0.00125,1.0
26,0.0013,1.0
27,0.00135,1.0
28,0.0014,1.0
29,0.00145,1.0
30,0.0015,1.0
31,0.00155,1.0
32,0.0016,1.0
33,0.00165,1.0
34,0.0017,1.0
35,0.00175,1.0
36,0.0018,1.0
37,0.00185,1.0
38,0.0019,1.0
39,0.00195,1.0
40,0.002,1.0
41,0.00205,1.0
42,0.0021,1.0
43,0.00215,1.0
44,0.0022,1.0
45,0.00225,1.0
46,0.0023,1.0
47,0.00235,1.0
48,0.0024,1.0
49,0.00245,1.0
50,0.0025,1.0
51,0.00255,1.0
52,0.0026,1.0
53,0.00265,1.0
54,0.0027,1.0
55,0.00275,1.0
56,0.0028,1.0
57,0.00285,1.0
58,0.0029,1.0
59,0.00295,1.0
60,0.003,1.0
61,0.00305,1.0
62,0.0031,1.0
63,0.00315,1.0
64,0.0032,1.0
65,0.00325,1.0
66,0.0033,1.0
67,0.00335,1.0
68,0.0034,1.0
69,0.00345,1.0
70,0.0035,1.0
71,0.00355,1.0
72,0.0036,1.0
73,0.00365,1.0
74,0.0037,1.0
75,0.00375,1.0
76,0.0038,1.0
77,0.00385,1.0
78,0.0039,1.0
79,0.00395,1.0
80,0.004,1.0
81,0.00405,1.0
82,0.0041,1.0
83,0.00415,1.0
84,0.0042,1.0
85,0.00425,1.0
86,0.0043,1.0
87,0.00435,1.0
88,0.0044,1.0
89,0.00445,1.0
90,0.0045,1.0
91,0.00455,1.0
92,0.0046,1.0
93,0.00465,1.0
94,0.0047,1.0
95,0.00475,1.0
96,0.0048,1.0
97,0.00485,1.0
98,0.0049,1.0
99,0.00495,1.0
100,0.005,1.0
101,0.00505,1.0
102,0.0051,1.0
103,0.00515,1.0
104,0.0052,1.0
105,0.00525,1.0
106,0.0053,1.0
107,0.00535,1.0
108,0.0054,1.0
109,0.00545,1.0
110,0.0055,1.0
111,0.00555,1.0
112,0.0056,1.0
113,0.00565,1.0
114,0.0057,1.0
115,0.00575,1.0
116,0.0058,1.0
117,0.00585,1.0
118,0.0059,1.0
119,0.00595,1.0
120,0.006,1.0
121,0.00605,1.0
122,0.0061,1.0
123,0.00615,1.0
124,0.0062,1.0
125,0.00625,1.0
126,0.0063,1.0
127,0.00635,1.0
128,0.0064,1.0
129,0.00645,1.0
130,0.0065,1.0
131,0.00655,1.0
132,0.0066,1.0
133,0.00665,1.0
134,0.0067,1.0
135,0.00675,1.0
136,0.0068,1.0
137,0.00685,1.0
138,0.0069,1.0
139,0.00695,1.0
140,0.007,1.0
141,0.00705,1.0
142,0.0071,1.0
143,0.00715,1.0
144,0.0072,1.0
145,0.00725,1.0
146,0.0073,1.0
147,0.00735,1.0
148,0.0074,1.0
149,0.00745,1.0
150,0.0075,1.0
151,0.00755,1.0
152,0.0076,1.0
153,0.00765,1.0
154,0.0077,1.0
155,0.00775,1.0
156,0.0078,1.0
157,0.00785,1.0
158,0.0079,1.0
159,0.00795,1.0
160,0.008,1.0
161,0.00805,1.0
162,0.0081,1.0
163,0.00815,1.0
164,0.0082,1.0
165,0.00825,1.0
166,0.0083,1.0
167,0.00835,1.0
168,0.0084,1.0
169,0.00845,1.0
170,0.0085,1.0
171,0.00855,1.0
172,0.0086,1.0
173,0.00865,1.0
174,0.0087,1.0
175,0.00875,1.0
176,0.0088,1.0
177,0.00885,1.0
178,0.0089,1.0
179,0.00895,1.0
180,0.009,1.0
181,0.00905,1.0
182,0.0091,1.0
183,0.00915,1.0
184,0.0092,1.0
185,0.00925,1.0
186,0.0093,1.0
187,0.00935,1.0
188,0.0094,1.0
189,0.00945,1.0
190,0.0095,1.0
191,0.00955,1.0
192,0.0096,1.0
193,0.00965,1.0
194,0.0097,1.0
195,0.00975,1.0
196,0.0098,1.0
197,0.00985,1.0
198,0.0099,1.0
199,0.00995,1.0
200,0.01,1.0
201,0.01005,1.0
202,0.0101,1.0
203,0.01015,1.0
204,0.0102,1.0
205,0.01025,1.0
206,0.0103,1.0
207,0.01035,1.0
208,0.0104,1.0
209,0.01045,1.0
210,0.0105,1.0
211,0.01055,1.0
212,0.0106,1.0
213,0.01065,1.0
214,0.0107,1.0
215,0.01075,1.0
216,0.0108,1.0
217,0.01085,1.0
218,0.0109,1.0
219,0.01095,1.0
220,0.011,1.0
221,0.01105,1.0
222,0.0111,1.0
223,0.01115,1.0
224,0.0112,1.0
225,0.01125,1.0
226,0.0113,1.0
227,0.01135,1.0
228,0.0114,1.0
229,0.01145,1.0
230,0.0115,1.0
231,0.01155,1.0
232,0.0116,1.0
233,0.01165,1.0
234,0.0117,1.0
235,0.01175,1.0
236,0.0118,1.0
237,0.01185,1.0
238,0.0119,1.0
239,0.01195,1.0
240,0.012,1.0
241,0.01205,1.0
242,0.0121,1.0
243,0.01215,1.0
244,0.0122,1.0
245,0.01225,1.0
246,0.0123,1.0
247,0.01235,1.0
248,0.0124,1.0
249,0.01245,1.0
250,0.0125,1.0
251,0.01255,1.0
252,0.0126,1.0
253,0.01265,1.0
254,0.0127,1.0
255,0.01275,1.0
256,0.0128,1.0
257,0.01285,1.0
258,0.0129,1.0
259,0.01295,1.0
260,0.013,1.0
261,0.01305,1.0
262,0.0131,1.0
263,0.01315,1.0
264,0.0132,1.0
265,0.01325,1.0
266,0.0133,1.0
267,0.01335,1.0
268,0.0134,1.0
269,0.01345,1.0
270,0.0135,1.0
271,0.01355,1.0
272,0.0136,1.0
273,0.01365,1.0
274,0.0137,1.0
275,0.01375,1.0
276,0.0138,1.0
277,0.01385,1.0
278,0.0139,1.0
279,0.01395,1.0
280,0.014,1.0
281,0.01405,1.0
282,0.0141,1.0
283,0.01415,1.0
284,0.0142,1.0
285,0.01425,1.0
286,0.0143,1.0
287,0.01435,1.0
288,0.0144,1.0
289,0.01445,1.0
290,0.0145,1.0
291,0.01455,1.0
292,0.0146,1.0
293,0.01465,1.0
294,0.0147,1.0
295,0.01475,1.0
296,0.0148,1.0
297,0.01485,1.0
298,0.0149,1.0
299,0.01495,1.0
300,0.015,1.0
301,0.01505,1.0
302,0.0151,1.0
303,0.01515,1.0
304,0.0152,1.0
305,0.01525,1.0
306,0.0153,1.0
307,0.01535,1.0
308,0.0154,1.0
309,0.01545,1.0
310,0.0155,1.0
311,0.01555,1.0
312,0.0156,1.0
313,0.01565,1.0
314,0.0157,1.0
315,0.01575,1.0
316,0.0158,1.0
317,0.01585,1.0
318,0.0159,1.0
319,0.01595,1.0
320,0.016,1.0
321,0.01605,1.0
322,0.0161,1.0
323,0.01615,1.0
324,0.0162,1.0
325,0.01625,1.0
326,0.0163,1.0
327,0.01635,1.0
328,0.0164,1.0
329,0.01645,1.0
330,0.0165,1.0
331,0.01655,1.0
332,0.0166,1.0
333,0.01665,1.0
334,0.0167,1.0
335,0.01675,1.0
336,0.0168,1.0
337,0.01685,1.0
338,0.0169,1.0
339,0.01695,1.0
340,0.017,1.0
341,0.01705,1.0
342,0.0171,1.0
343,0.01715,1.0
344,0.0172,1.0
345,0.01725,1.0
346,0.0173,1.0
347,0.01735,1.0
348,0.0174,1.0
349,0.01745,1.0
350,0.0175,1.0
351,0.01755,1.0
352,0.0176,1.0
353,0.01765,1.0
354,0.0177,1.0
355,0.01775,1.0
356,0.0178,1.0
357,0.01785,1.0
358,0.0179,1.0
359,0.01795,1.0
360,0.018,1.0
361,0.01805,1.0
362,0.0181,1.0
363,0.01815,1.0
364,0.0182,1.0
365,0.01825,1.0
366,0.0183,1.0
367,0.01835,1.0
368,0.0184,1.0
369,0.01845,1.0
370,0.0185,1.0
371,0.01855,1.0
372,0.0186,1.0
373,0.01865,1.0
374,0.0187,1.0
375,0.01875,1.0
376,0.0188,1.0
377,0.01885,1.0
378,0.0189,1.0
379,0.01895,1.0
380,0.019,1.0
381,0.01905,1.0
382,0.0191,1.0
383,0.01915,1.0
384,0.0192,1.0
385,0.01925,1.0
386,0.0193,1.0
387,0.01935,1.0
388,0.0194,1.0
389,0.01945,1.0
390,0.0195,1.0
391,0.01955,1.0
392,0.0196,1.0
393,0.01965,1.0
394,0.0197,1.0
395,0.01975,1.0
396,0.0198,1.0
397,0.01985,1.0
398,0.0199,1.0
399,0.01995,1.0
400,0.02,1.0
401,0.02005,1.0
402,0.0201,1.0
403,0.02015,1.0
404,0.0202,1.0
405,0.02025,1.0
406,0.0203,1.0
407,0.02035,1.0
408,0.0204,1.0
409,0.02045,1.0
410,0.0205,1.0
411,0.02055,1.0
412,0.0206,1.0
413,0.02065,1.0
414,0.0207,1.0
415,0.02075,1.0
416,0.0208,1.0
417,0.02085,1.0
418,0.0209,1.0
419,0.02095,1.0
420,0.021,1.0
421,0.02105,1.0
422,0.0211,1.0
423,0.02115,1.0
424,0.0212,1.0
425,0.02125,1.0
426,0.0213,1.0
427,0.02135,1.0
428,0.0214,1.0
429,0.02145,1.0
430,0.0215,1.0
431,0.02155,1.0
432,0.0216,1.0
433,0.02165,1.0
434,0.0217,1.0
435,0.02175,1.0
436,0.0218,1.0
437,0.02185,1.0
438,0.0219,1.0
439,0.02195,1.0
440,0.022,1.0
441,0.02205,1.0
442,0.0221,1.0
443,0.02215,1.0
444,0.0222,1.0
445,0.02225,1.0
446,0.0223,1.0
447,0.02235,1.0
448,0.0224,1.0
449,0.02245,1.0
450,0.0225,1.0
451,0.02255,1.0
452,0.0226,1.0
453,0.02265,1.0
454,0.0227,1.0
455,0.02275,1.0
456,0.0228,1.0
457,0.02285,1.0
458,0.0229,1.0
459,0.02295,1.0
460,0.023,1.0
461,0.02305,1.0
462,0.0231,1.0
463,0.02315,1.0
464,0.0232,1.0
465,0.02325,1.0
466,0.0233,1.0
467,0.02335,1.0
468,0.0234,1.0
469,0.02345,1.0
470,0.0235,1.0
471,0.02355,1.0
472,0.0236,1.0
473,0.02365,1.0
474,0.0237,1.0
475,0.02375,1.0
476,0.0238,1.0
477,0.02385,1.0
478,0.0239,1.0
479,0.02395,1.0
480,0.024,1.0
481,0.02405,1.0
482,0.0241,1.0
483,0.02415,1.0
484,0.0242,1.0
485,0.02425,1.0
486,0.0243,1.0
487,0.02435,1.0
488,0.0244,1.0
489,0.02445,1.0
490,0.0245,1.0
491,0.02455,1.0
492,0.0246,1.0
493,0.02465,1.0
494,0.0247,1.0
495,0.02475,1.0
496,0.0248,1.0
497,0.02485,1.0
498,0.0249,1.0
499,0.02495,1.0
500,0.025,1.0
501,0.02505,1.0
502,0.0251,1.0
503,0.02515,1.0
504,0.0252,1.0
505,0.02525,1.0
506,0.0253,1.0
507,0.02535,1.0
508,0.0254,1.0
509,0.02545,1.0
510,0.0255,1.0
511,0.02555,1.0
512,0.0256,1.0
513,0.02565,1.0
514,0.0257,1.0
515,0.02575,1.0
516,0.0258,1.0
517,0.02585,1.0
518,0.0259,1.0
519,0.02595,1.0
520,0.026,1.0
521,0.02605,1.0
522,0.0261,1.0
523,0.02615,1.0
524,0.0262,1.0
525,0.02625,1.0
526,0.0263,1.0
527,0.02635,1.0
528,0.0264,1.0
529,0.02645,1.0
530,0.0265,1.0
531,0.02655,1.0
532,0.0266,1.0
533,0.02665,1.0
534,0.0267,1.0
535,0.02675,1.0
536,0.0268,1.0
537,0.02685,1.0
538,0.0269,1.0
539,0.02695,1.0
540,0.027,1.0
541,0.02705,1.0
542,0.0271,1.0
543,0.02715,1.0
544,0.0272,1.0
545,0.02725,1.0
546,0.0273,1.0
547,0.02735,1.0
548,0.0274,1.0
549,0.02745,1.0
550,0.0275,1.0
551,0.02755,1.0
552,0.0276,1.0
553,0.02765,1.0
554,0.0277,1.0
555,0.02775,1.0
556,0.0278,1.0
557,0.02785,1.0
558,0.0279,1.0
559,0.02795,1.0
560,0.028,1.0
561,0.02805,1.0
562,0.0281,1.0
563,0.02815,1.0
564,0.0282,1.0
565,0.02825,1.0
566,0.0283,1.0
567,0.02835,1.0
568,0.0284,1.0
569,0.02845,1.0
570,0.0285,1.0
571,0.02855,1.0
572,0.0286,1.0
573,0.02865,1.0
574,0.0287,1.0
575,0.02875,1.0
576,0.0288,1.0
577,0.02885,1.0
578,0.0289,1.0
579,0.02895,1.0
580,0.029,1.0
581,0.02905,1.0
582,0.0291,1.0
583,0.02915,1.0
584,0.0292,1.0
585,0.02925,1.0
586,0.0293,1.0
587,0.02935,1.0
588,0.0294,1.0
589,0.02945,1.0
590,0.0295,1.0
591,0.02955,1.0
592,0.0296,1.0
593,0.02965,1.0
594,0.0297,1.0
595,0.02975,1.0
596,0.0298,1.0
597,0.02985,1.0
598,0.0299,1.0
599,0.02995,1.0
600,0.03,1.0
601,0.03005,1.0
602,0.0301,1.0
603,0.03015,1.0
604,0.0302,1.0
605,0.03025,1.0
606,0.0303,1.0
607,0.03035,1.0
608,0.0304,1.0
609,0.03045,1.0
610,0.0305,1.0
611,0.03055,1.0
612,0.0306,1.0
613,0.03065,1.0
614,0.0307,1.0
615,0.03075,1.0
616,0.0308,1.0
617,0.03085,1.0
618,0.0309,1.0
619,0.03095,1.0
620,0.031,1.0
621,0.03105,1.0
622,0.0311,1.0
623,0.03115,1.0
624,0.0312,1.0
625,0.03125,1.0
626,0.0313,1.0
627,0.03135,1.0
628,0.0314,1.0
629,0.03145,1.0
630,0.0315,1.0
631,0.03155,1.0
632,0.0316,1.0
633,0.03165,1.0
634,0.0317,1.0
635,0.03175,1.0
636,0.0318,1.0
637,0.03185,1.0
638,0.0319,1.0
639,0.03195,1.0
640,0.032,1.0
641,0.03205,1.0
642,0.0321,1.0
643,0.03215,1.0
644,0.0322,1.0
645,0.03225,1.0
646,0.0323,1.0
647,0.03235,1.0
648,0.0324,1.0
649,0.03245,1.0
650,0.0325,1.0
651,0.03255,1.0
652,0.0326,1.0
653,0.03265,1.0
654,0.0327,1.0
655,0.03275,1.0
656,0.0328,1.0
657,0.03285,1.0
658,0.0329,1.0
659,0.03295,1.0
660,0.033,1.0
661,0.03305,1.0
662,0.0331,1.0
663,0.03315,1.0
664,0.0332,1.0
665,0.03325,1.0
666,0.0333,1.0
667,0.03335,1.0
668,0.0334,1.0
669,0.03345,1.0
670,0.0335,1.0
671,0.03355,1.0
672,0.0336,1.0
673,0.03365,1.0
674,0.0337,1.0
675,0.03375,1.0
676,0.0338,1.0
677,0.03385,1.0
678,0.0339,1.0
679,0.03395,1.0
680,0.034,1.0
681,0.03405,1.0
682,0.0341,1.0
683,0.03415,1.0
684,0.0342,1.0
685,0.03425,1.0
686,0.0343,1.0
687,0.03435,1.0
688,0.0344,1.0
689,0.03445,1.0
690,0.0345,1.0
691,0.03455,1.0
692,0.0346,1.0
693,0.03465,1.0
694,0.0347,1.0
695,0.03475,1.0
696,0.0348,1.0
697,0.03485,1.0
698,0.0349,1.0
699,0.03495,1.0
