,t,I_out
0,0.0,-38.99389867032473
1,5e-05,-38.99389867030959
2,0.0001,-38.99389867029437
3,0.00015,-38.993898670279094
4,0.0002,-38.99389867026392
5,0.00025,-38.99389867024872
6,0.0003,-38.993898670233456
7,0.00035,-38.99389867021829
8,0.0004,-38.99389867020311
9,0.00045,-38.99389867018787
10,0.0005,-38.99389867017258
11,0.00055,-38.99389867015739
12,0.0006,-38.99389867014219
13,0.00065,-38.993898670126924
14,0.0007,-38.99389867011177
15,0.00075,-38.993898670096584
16,0.0008,-38.99389867008134
17,0.00085,-38.993898670066194
18,0.0009,-38.99389867005102
19,0.00095,-38.99389867003577
20,0.001,-38.99389867002062
21,0.00105,-38.993898670005436
22,0.0011,-38.993898669990195
23,0.00115,-38.99389866997504
24,0.0012,-38.993898669959854
25,0.00125,-38.99389866994462
26,0.0013,-38.99389866992934
27,0.00135,-38.993898669914145
28,0.0014,-38.99389866989895
29,0.00145,-38.993898669883684
30,0.0015,-38.99389866986853
31,0.00155,-38.993898669853344
32,0.0016,-38.9938986698381
33,0.00165,-38.99389866982295
34,0.0017,-38.99389866980777
35,0.00175,-38.99389866979252
36,0.0018,-38.99389866977737
37,0.00185,-38.993898669762196
38,0.0019,-38.99389866974696
39,0.00195,-38.993898669731806
40,0.002,-38.99389866971663
41,0.00205,-38.99389866970138
42,0.0021,-38.99389866968623
43,0.00215,-38.99389866967105
44,0.0022,-38.99389866965581
45,0.00225,-38.99389866964066
46,0.0023,-38.99389866962548
47,0.00235,-38.99389866961023
48,0.0024,-38.99389866959509
49,0.00245,-38.993898669579906
50,0.0025,-38.99389866956467
51,0.00255,-38.993898669549516
52,0.0026,-38.99389866953434
53,0.00265,-38.99389866951909
54,0.0027,-38.99389866950394
55,0.00275,-38.99389866948876
56,0.0028,-38.99389866947366
57,0.00285,-38.99389866945851
58,0.0029,-38.9938986694433
59,0.00295,-38.99389866942816
60,0.003,-38.993898669412985
61,0.00305,-38.99389866939775
62,0.0031,-38.9938986693826
63,0.00315,-38.993898669367425
64,0.0032,-38.993898669352184
65,0.00325,-38.993898669337035
66,0.0033,-38.99389866932186
67,0.00335,-38.99389866930662
68,0.0034,-38.99389866929147
69,0.00345,-38.993898669276284
70,0.0035,-38.993898669261185
71,0.00355,-38.99389866924604
72,0.0036,-38.993898669230816
73,0.00365,-38.99389866921568
74,0.0037,-38.993898669200505
75,0.00375,-38.99389866918527
76,0.0038,-38.99389866917012
77,0.00385,-38.993898669154945
78,0.0039,-38.9938986691397
79,0.00395,260.67238941423636
80,0.004,228.0791924502699
81,0.00405,240.08527825557286
82,0.0041,239.8593478556798
83,0.00415,231.310667706404
84,0.0042,218.29557093588537
85,0.00425,203.21369173488495
86,0.0043,187.42416296483879
87,0.00435,171.73615658871736
88,0.0044,156.5905387745371
89,0.00445,142.2109404110156
90,0.0045,128.70374500568545
91,0.00455,116.10958572496072
92,0.0046,104.41743524319665
93,0.00465,93.58771960969496
94,0.0047,83.5743549177918
95,0.00475,74.3289960847932
96,0.0048,65.80017961500421
97,0.00485,57.93549330722329
98,0.0049,50.68483816252106
99,0.00495,44.0018299597749
100,0.005,37.84339793759379
101,0.00505,32.169101921879964
102,0.0051,26.94102493971728
103,0.00515,22.124073406955898
104,0.0052,17.68607910666071
105,0.00525,13.597429796993579
106,0.0053,9.830701015285923
107,0.00535,6.360544379690278
108,0.0054,3.163600705168651
109,0.00545,0.21835751247358526
110,0.0055,-2.4949716113126508
111,0.00555,-4.994626546555637
112,0.0056,-7.297437640779495
113,0.00565,-9.418924664559517
114,0.0057,-11.373370637998674
115,0.00575,-13.173918763354644
116,0.0058,-14.832679726629134
117,0.00585,-16.36082027920249
118,0.0059,-17.76863039058721
119,0.00595,-19.065585739662897
120,0.006,-20.26041332993245
121,0.00605,-21.361154190631858
122,0.0061,-22.375217812761626
123,0.00615,-23.309430226929972
124,0.0062,-24.170079213860845
125,0.00625,-24.96295715291312
126,0.0063,-25.693400511488882
127,0.00635,-26.36632575699416
128,0.0064,-26.986262231201582
129,0.00645,-27.557382510241464
130,0.0065,-28.083530527048843
131,0.00655,-28.568247550280304
132,0.0066,-29.014796054670057
133,0.00665,-29.42618162267291
134,0.0067,-29.805173127597943
135,0.00675,-30.154321391233445
136,0.0068,-30.47597638797095
137,0.00685,-30.77230305894276
