,t,I_out
0,0.0,-74.573288127799
1,5e-05,-74.5732880826321
2,0.0001,-74.5732880374699
3,0.00015,-74.57328799231233
4,0.0002,-74.57328794715957
5,0.00025,-74.57328790201154
6,0.0003,-74.57328785686832
7,0.00035,-74.57328781172984
8,0.0004,-74.57328776659611
9,0.00045,-74.57328772146712
10,0.0005,-74.5732876763429
11,0.00055,-74.57328763122341
12,0.0006,-74.57328758610868
13,0.00065,-74.5732875409987
14,0.0007,-74.57328749589351
15,0.00075,-74.57328745079306
16,0.0008,-74.57328740569736
17,0.00085,-74.57328736060641
18,0.0009,-74.57328731552022
19,0.00095,-74.57328727043875
20,0.001,-74.57328722536205
21,0.00105,-74.57328718029012
22,0.0011,-74.57328713522291
23,0.00115,-74.57328709016043
24,0.0012,-74.5732870451027
25,0.00125,-74.57328700004975
26,0.0013,-74.57328695500154
27,0.00135,-74.57328690995806
28,0.0014,-74.57328686491934
29,0.00145,-74.57328681988535
30,0.0015,-74.57328677485609
31,0.00155,-74.57328672983157
32,0.0016,-74.5732866848118
33,0.00165,-74.57328663979675
34,0.0017,-74.57328659478645
35,0.00175,-74.5732865497809
36,0.0018,-74.5732865047801
37,0.00185,-74.57328645978404
38,0.0019,-74.57328641479272
39,0.00195,-74.57328636980615
40,0.002,-74.57328632482432
41,0.00205,-74.57328627984722
42,0.0021,-74.57328623487486
43,0.00215,-74.57328618990725
44,0.0022,-74.57328614494436
45,0.00225,-74.57328609998619
46,0.0023,-74.57328605503277
47,0.00235,-74.57328601008406
48,0.0024,-74.57328596514009
49,0.00245,-74.57328592020086
50,0.0025,-74.57328587526635
51,0.00255,-74.57328583033657
52,0.0026,-74.57328578541154
53,0.00265,-74.57328574049127
54,0.0027,-74.57328569557572
55,0.00275,-74.57328565066487
56,0.0028,-74.57328560575877
57,0.00285,-74.57328556085739
58,0.0029,-74.57328551596073
59,0.00295,-74.57328547106881
60,0.003,-74.57328542618166
61,0.00305,-74.5732853812992
62,0.0031,-74.57328533642146
63,0.00315,-74.57328529154849
64,0.0032,-74.57328524668023
65,0.00325,-74.57328520181667
66,0.0033,-74.57328515695787
67,0.00335,-74.57328511210376
68,0.0034,-74.57328506725439
69,0.00345,-74.57328502240975
70,0.0035,-74.57328497756984
71,0.00355,-74.57328493273462
72,0.0036,-74.57328488790412
73,0.00365,-74.57328484307837
74,0.0037,-74.57328479825732
75,0.00375,-74.57328475344099
76,0.0038,-74.57328470862939
77,0.00385,-74.57328466382253
78,0.0039,-74.5732846190204
79,0.00395,54.695028449614064
80,0.004,98.10851093877464
81,0.00405,101.54836419007503
82,0.0041,90.53086940759262
83,0.00415,75.94728668065471
84,0.0042,62.03314745776191
85,0.00425,50.15734274805668
86,0.0043,40.473389425937924
87,0.00435,32.728193624622314
88,0.0044,26.554294623384976
89,0.00445,21.58878316139566
90,0.0045,17.53388794080113
91,0.00455,14.164645506973955
92,0.0046,11.307909039447836
93,0.00465,8.829006900380774
94,0.0047,6.6292958631363
95,0.00475,4.640516255520576
96,0.0048,2.8138130575020432
97,0.00485,1.11240265325322
98,0.0049,-0.4914533952159197
99,0.00495,-2.0174571556633207
100,0.005,-3.4791477893523055
101,0.00505,-4.886338725771917
102,0.0051,-6.24666992526374
103,0.00515,-7.566012403816379
104,0.0052,-8.848589002781651
105,0.00525,-10.097402799903918
106,0.0053,-11.31478050347268
107,0.00535,-12.502660415334576
108,0.0054,-13.662622774478235
109,0.00545,-14.795898936263946
110,0.0055,-15.903474344455242
111,0.00555,-16.98621296676196
112,0.0056,-18.044904258131687
113,0.00565,-19.080251234365292
114,0.0057,-20.092874722663993
115,0.00575,-21.083347551428403
116,0.0058,-22.05221075304627
117,0.00585,-22.999981065229427
118,0.0059,-23.927151930735675
119,0.00595,-24.834195499364682
120,0.006,-25.721566143724772
121,0.00605,-26.589703717157928
122,0.0061,-27.43903568136646
123,0.00615,-28.2699779742057
124,0.0062,-29.082935824542673
125,0.00625,-29.878304070722734
126,0.0063,-30.656468250372356
127,0.00635,-31.417804419901074
128,0.0064,-32.16268062821381
129,0.00645,-32.89145552706809
130,0.0065,-33.60448112234677
131,0.00655,-34.30209999722688
132,0.0066,-34.98464811433172
133,0.00665,-35.65245359746558
134,0.0067,-36.30583737657539
135,0.00675,-36.94511330279425
136,0.0068,-37.57058829915495
137,0.00685,-38.182562531437405
138,0.0069,-38.781329558302694
139,0.00695,-39.3671764733028
140,0.0069999999999999,-39.940384078116914
141,0.00705,-40.501227023021755
142,0.0071,-41.049973919987416
143,0.00715,-41.586887468872845
144,0.0072,-42.112224600660305
145,0.00725,-42.6262366195911
146,0.0073,-43.12916932171688
147,0.00735,-43.62126310408842
148,0.0074,-44.10275308628064
149,0.00745,-44.57386923426804
150,0.0075,-45.0348364762302
151,0.00755,-45.485874812286376
152,0.0076,-45.92719942183813
153,0.00765,-46.35902076965726
154,0.0077,-46.7815447079678
155,0.00775,-47.1949725739023
156,0.0078,-47.5995013081731
157,0.00785,-47.995323552477345
158,0.0079,-48.38262772864961
159,0.00795,-48.7615981262085
160,0.008,-49.132415001551756
161,0.00805,-49.495254677490024
162,0.0081,-49.850289626288365
163,0.00815,-50.19768854598327
164,0.0082,-50.537616445530205
165,0.00825,-50.87023473128294
166,0.0083,-51.19570128800321
167,0.00835,-51.514170555639666
168,0.0084,-51.82579360440741
169,0.00845,-52.1307182089541
170,0.0085,-52.429088919698344
171,0.00855,-52.721047130918436
172,0.0086,-53.00673116365115
173,0.00865,-53.286276333705494
174,0.0087,-53.55981500690353
175,0.00875,-53.827476660175385
176,0.0088,-54.08938795078127
177,0.00885,-54.34567278574809
178,0.0089,-54.59645237977426
179,0.00895,-54.841845308429185
180,0.009,-55.08196756750654
181,0.00905,-55.31693263329865
182,0.0091,-55.54685151904432
183,0.00915,-55.77183282841691
184,0.0092,-55.991982807820264
185,0.00925,-56.20740539804278
186,0.0093,-56.418202283937404
187,0.00935,-56.624472941833176
188,0.0094,-56.82631469725593
189,0.00945,-57.02382277227501
190,0.0095,-57.21709032393566
191,0.00955,-57.406208486878086
192,0.0096,-57.59126642143866
193,0.00965,-57.77235136196966
194,0.0097,-57.9495486571969
195,0.00975,-58.1229418072539
196,0.0098,-58.29261250496861
197,0.00985,-58.458640677814195
198,0.0099,-58.6211045272199
199,0.00995,-58.780080565819965
200,0.01,-58.93564365386327
201,0.01005,-59.08786703517156
202,0.0101,-59.23682237173019
203,0.01015,-59.38257977670054
204,0.0102,-59.52520785459168
205,0.01025,-59.664773734303374
206,0.0103,-59.80134309594344
207,0.01035,-59.93498020040772
208,0.0104,-60.065747922906404
209,0.01045,-60.193707786663595
210,0.0105,-60.31891999105356
211,0.01055,-60.44144343742225
212,0.0106,-60.56133575788103
213,0.01065,-60.6786533445547
214,0.0107,-60.793451376987214
215,0.01075,-60.905783848120755
216,0.0108,-61.015703589701275
217,0.01085,-61.123262297376456
218,0.0109,-61.228510554839936
219,0.01095,-61.33149785687955
220,0.011,-61.43227263744276
221,0.01105,-61.530882292671095
222,0.0111,-61.627373199617026
223,0.01115,-61.72179073694681
224,0.0112,-61.81417930839869
225,0.01125,-61.904582366321726
226,0.0113,-61.99304243131688
227,0.01135,-62.07960111029071
228,0.0114,-62.164299116600574
229,0.01145,-62.2471762905186
230,0.0115,-62.3282716184064
231,0.01155,-62.407623250893934
232,0.0116,-62.48526852066149
233,0.01165,-62.56124396001063
234,0.0117,-62.63558531777123
235,0.01175,-62.70832757544446
236,0.0118,-62.77950496686228
237,0.01185,-62.849150994328724
238,0.0119,-62.91729844174007
239,0.01195,-62.98397938909728
240,0.012,-63.04922522895087
241,0.01205,-63.11306668290702
242,0.0121,-63.17553381540496
243,0.01215,-63.23665604638437
244,0.0122,-63.29646216542132
245,0.01225,-63.354980346089725
246,0.0123,-63.41223815942157
247,0.01235,-63.46826258667113
248,0.0124,-63.52308003180312
249,0.01245,-63.57671633383482
250,0.0125,-63.629196778713606
251,0.01255,-63.68054611066026
252,0.0126,-63.73078854598463
253,0.01265,-63.77994778443269
254,0.0127,-63.8280470184127
255,0.01275,-63.87510894320036
256,0.0128,-63.921155768503226
257,0.01285,-63.96620923007098
258,0.0129,-64.01029059938969
259,0.01295,-64.05342069259636
260,0.013,-64.09561988042759
261,0.01305,-64.13690809832885
262,0.0131,-64.17730485593054
263,0.01315,-64.2168292460365
264,0.0132,-64.25549995341905
265,0.01325,-64.29333526351269
266,0.0133,-64.33035307078183
267,0.01335,-64.36657088671292
268,0.0134,-64.40200584955012
269,0.01345,-64.43667473229256
270,0.0135,-64.47059394919549
271,0.01355,-64.50377956297974
272,0.0136,-64.53624729297097
273,0.01365,-64.56801252328403
274,0.0137,-64.5990903096691
275,0.01375,-64.62949538580146
276,0.0138,-64.65924217029523
277,0.01385,-64.68834477383447
278,0.0139,-64.71681700586232
279,0.01395,-64.74467238092699
280,0.014,-64.77192412488883
281,0.01405,-64.79858518105803
282,0.0141,-64.82466821609906
283,0.01415,-64.85018562567608
284,0.0142,-64.87514954131935
285,0.01425,-64.89957183608703
286,0.0143,-64.92346412916248
287,0.01435,-64.94683779092885
288,0.0144,-64.96970394872048
289,0.01445,-64.99207349260928
290,0.0145,-65.01395708024336
291,0.01455,-65.03536514129253
292,0.0146,-65.05630788240634
293,0.01465,-65.07679529225332
294,0.0147,-65.09683714624738
295,0.01475,-65.11644301103271
296,0.0148,-65.13562224887295
297,0.01485,-65.15438402199042
298,0.0149,-65.1727372967431
299,0.01495,-65.19069084761487
300,0.015,-65.2082532620769
301,0.01505,-65.22543294458248
302,0.0151,-65.24223811981739
303,0.01515,-65.25867683629463
304,0.0152,-65.27475697042865
305,0.01525,-65.29048623062673
306,0.0153,-65.3058721607073
307,0.01535,-65.32092214304465
