,t,I_out
0,0.0,-38.99389565350695
1,5e-05,-38.99389565350664
2,0.0001,-38.993895653506286
3,0.00015,-38.99389565350601
4,0.0002,-38.99389565350568
5,0.00025,-38.993895653505284
6,0.0003,-38.99389565350496
7,0.00035,-38.993895653504595
8,0.0004,-38.99389565350432
9,0.00045,-38.993895653503984
10,0.0005,-38.99389565350372
11,0.00055,-38.9938956535034
12,0.0006,-38.993895653503
13,0.00065,-38.99389565350268
14,0.0007,-38.99389565350233
15,0.00075,-38.99389565350203
16,0.0008,-38.99389565350176
17,0.00085,-38.9938956535015
18,0.0009,-38.99389565350116
19,0.00095,-38.99389565350075
20,0.001,-38.99389565350042
21,0.00105,-38.993895653500054
22,0.0011,-38.99389565349976
23,0.00115,-38.993895653499486
24,0.0012,-38.99389565349922
25,0.00125,-38.99389565349888
26,0.0013,-38.99389565349847
27,0.00135,-38.99389565349814
28,0.0014,-38.99389565349778
29,0.00145,-38.99389565349749
30,0.0015,-38.99389565349721
31,0.00155,-38.9938956534968
32,0.0016,-38.99389565349646
33,0.00165,-38.99389565349608
34,0.0017,-38.99389565349579
35,0.00175,-38.99389565349545
36,0.0018,-38.99389565349518
37,0.00185,-38.99389565349485
38,0.0019,-38.993895653494455
39,0.00195,-38.993895653494135
40,0.002,-38.99389565349377
41,0.00205,-38.99389565349349
42,0.0021,-38.99389565349316
43,0.00215,-38.9938956534929
44,0.0022,-38.99389565349258
45,0.00225,-38.99389565349218
46,0.0023,-38.99389565349186
47,0.00235,-38.993895653491506
48,0.0024,-38.99389565349121
49,0.00245,-38.99389565349094
50,0.0025,-38.993895653490675
51,0.00255,-38.99389565349034
52,0.0026,-38.99389565348993
53,0.00265,-38.9938956534896
54,0.0027,-38.99389565348924
55,0.00275,-38.99389565348894
56,0.0028,-38.993895653488664
57,0.00285,-38.99389565348825
58,0.0029,-38.99389565348791
59,0.00295,-38.993895653487535
60,0.003,-38.99389565348724
61,0.00305,-38.9938956534869
62,0.0031,-38.99389565348663
63,0.00315,-38.993895653486305
64,0.0032,-38.99389565348591
65,0.00325,-38.99389565348559
66,0.0033,-38.993895653485225
67,0.00335,-38.99389565348494
68,0.0034,-38.993895653484614
69,0.00345,-38.99389565348435
70,0.0035,-38.99389565348403
71,0.00355,-38.993895653483634
72,0.0036,-38.993895653483314
73,0.00365,-38.99389565348296
74,0.0037,-38.99389565348267
75,0.00375,-38.9938956534824
76,0.0038,-38.993895653482134
77,0.00385,-38.9938956534818
78,0.0039,-38.99389565348139
79,0.00395,63.215647775844616
80,0.004,150.0196061334913
81,0.00405,194.13926428852454
82,0.0041,211.79847484368076
83,0.00415,214.05106863622393
84,0.0042,207.61964209227887
85,0.00425,196.53294870615082
86,0.0043,183.17971807307208
87,0.00435,168.9790939482338
88,0.0044,154.75457421352402
89,0.00445,140.9504661675357
90,0.0045,127.80319551604154
91,0.00455,115.43536749026794
92,0.0046,103.89124502367626
93,0.00465,93.16338284634614
94,0.0047,83.22066204821844
95,0.00475,74.02443527137947
96,0.0048,65.53180092595281
97,0.00485,57.69623703312596
98,0.0049,50.469981162920334
99,0.00495,43.807317422369735
100,0.005,37.665962465769425
101,0.00505,32.00655541761807
102,0.0051,26.791955904340412
103,0.00515,21.98731925281727
104,0.0052,17.560460166688685
105,0.00525,13.481861195582198
106,0.0053,9.724309534661304
107,0.00535,6.262591212308867
108,0.0054,3.0734106051539714
109,0.00545,0.13530376313638315
110,0.0055,-2.5714795850104775
111,0.00555,-5.065132960159027
112,0.0056,-7.362427850708714
113,0.00565,-9.478824317198324
114,0.0057,-11.428567933914033
115,0.00575,-13.224781597324826
116,0.0058,-14.879549848932852
117,0.00585,-16.404002195202697
118,0.0059,-17.808403845624646
119,0.00595,-19.10221923351101
120,0.006,-20.29416084463099
121,0.00605,-21.392246505130096
122,0.0061,-22.40386250271175
123,0.00615,-23.33581805591653
124,0.0062,-24.194388140947375
125,0.00625,-24.98535206550115
126,0.0063,-25.71403257345459
127,0.00635,-26.385333518409876
128,0.0064,-27.00377334991015
129,0.00645,-27.57351489464615
130,0.0065,-28.098393025453735
131,0.00655,-28.581940341296207
132,0.0066,-29.02741124918541
133,0.00665,-29.437804059525266
134,0.0067,-29.81588106176543
135,0.00675,-30.16418695612971
136,0.0068,-30.485065991535166
137,0.00685,-30.780677840655216
138,0.0069,-31.053012156913358
139,0.00695,-31.303901920496973
140,0.0069999999999999,-31.53503575446232
141,0.00705,-31.74796930740768
142,0.0071,-31.944135736920224
143,0.00715,-32.12485535132032
144,0.0072,-32.2913444908543
145,0.00725,-32.4447237148901
146,0.0073,-32.58602534518369
147,0.00735,-32.71620041427347
148,0.0074,-32.83612506707815
149,0.00745,-32.94660645801418
150,0.0075,-33.04838818282578
151,0.00755,-33.142155283117006
152,0.0076,-33.22853885774201
153,0.00765,-33.30812031086061
154,0.0077,-33.38143526477037
155,0.00775,-33.44897716467011
156,0.0078,-33.5112006000178
157,0.00785,-33.56852436436955
158,0.0079,-33.62133427402354
159,0.00795,-33.669985764681755
160,0.008,-33.7148062837654
161,0.00805,-33.75609749436547
162,0.0081,-33.7941373055849
163,0.00815,-33.829181742998536
164,0.0082,-33.86146667185436
165,0.00825,-33.8912093845791
166,0.0083,-33.918610063262456
167,0.00835,-33.94385312698476
168,0.0084,-33.96710847305905
169,0.00845,-33.98853262052804
170,0.0085,-34.00826976361222
171,0.00855,-34.02645274220933
172,0.0086,-34.043203935975654
173,0.00865,-34.05863608800178
174,0.0087,-34.07285306362739
175,0.00875,-34.085950549505554
176,0.0088,-34.098016697620466
177,0.00885,-34.10913271859309
178,0.0089,-34.119373428266705
179,0.00895,-34.12880775125261
180,0.009,-34.137499184825224
181,0.00905,-34.145506226288234
182,0.0091,-34.1528827666888
183,0.00915,-34.15967845352895
184,0.0092,-34.165939024915666
185,0.00925,-34.17170661739913
186,0.0093,-34.17702004957076
187,0.00935,-34.18191508332976
188,0.0094,-34.18642466457671
189,0.00945,-34.190579144953816
190,0.0095,-34.19440648612538
191,0.00955,-34.19793244797146
192,0.0096,-34.20118076196322
193,0.00965,-34.20417329088627
194,0.0097,-34.20693017598664
195,0.00975,-34.20946997253002
196,0.0098,-34.211809774686344
197,0.00985,-34.213965330581075
198,0.0099,-34.21595114828696
199,0.00995,-34.217780593469165
200,0.01,-34.21946597934195
201,0.01005,-34.22101864954176
202,0.0101,-34.222449054474694
203,0.01015,-34.223766821652035
204,0.0102,-34.22498082048751
205,0.01025,-34.226099221991966
206,0.0103,-34.227129553767746
207,0.01035,-34.22807875067243
208,0.0104,-34.22895320149348
209,0.01045,-34.22975879194719
210,0.0105,-34.23050094429195
211,0.01055,-34.23118465382219
212,0.0106,-34.23181452248913
213,0.01065,-34.23239478987353
214,0.0107,-34.23292936171958
215,0.01075,-34.233421836222185
216,0.0108,-34.23387552824453
217,0.01085,-34.23429349162815
218,0.0109,-34.23467853974673
219,0.01095,-34.23503326444124
220,0.011,-34.235360053463644
221,0.01105,-34.23566110654786
222,0.0111,-34.23593845021456
223,0.01115,-34.236193951410876
224,0.0112,-34.23642933007528
225,0.01125,-34.23664617071336
226,0.0113,-34.236845933062504
227,0.01135,-34.23702996191642
228,0.0114,-34.23719949617616
229,0.01145,-34.237355677191374
230,0.0115,-34.23749955643185
231,0.01155,-34.23763210282408
232,0.0116,-34.23775420903138
233,0.01165,-34.237866696996385
