,t,I_out
0,0.0,-38.993895683213964
1,5e-05,-38.99389568321262
2,0.0001,-38.99389568321129
3,0.00015,-38.99389568320987
4,0.0002,-38.99389568320849
5,0.00025,-38.99389568320706
6,0.0003,-38.993895683205665
7,0.00035,-38.99389568320423
8,0.0004,-38.99389568320282
9,0.00045,-38.99389568320139
10,0.0005,-38.993895683199746
11,0.00055,-38.993895683198296
12,0.0006,-38.99389568319695
13,0.00065,-38.99389568319557
14,0.0007,-38.99389568319421
15,0.00075,-38.993895683192804
16,0.0008,-38.99389568319141
17,0.00085,-38.993895683190225
18,0.0009,-38.99389568318884
19,0.00095,-38.99389568318747
20,0.001,-38.99389568318601
21,0.00105,-38.99389568318462
22,0.0011,-38.99389568318316
23,0.00115,-38.993895683181755
24,0.0012,-38.993895683180305
25,0.00125,-38.993895683178906
26,0.0013,-38.99389568317746
27,0.00135,-38.993895683176056
28,0.0014,-38.99389568317485
29,0.00145,-38.993895683173456
30,0.0015,-38.99389568317194
31,0.00155,-38.99389568317048
32,0.0016,-38.993895683168994
33,0.00165,-38.99389568316755
34,0.0017,-38.99389568316623
35,0.00175,-38.993895683164816
36,0.0018,-38.99389568316347
37,0.00185,-38.99389568316204
38,0.0019,-38.993895683160666
39,0.00195,-38.99389568315922
40,0.002,-38.99389568315783
41,0.00205,-38.99389568315638
42,0.0021,-38.99389568315498
43,0.00215,-38.99389568315353
44,0.0022,-38.99389568315213
45,0.00225,-38.99389568315069
46,0.0023,-38.99389568314928
47,0.00235,-38.99389568314808
48,0.0024,-38.99389568314669
49,0.00245,-38.99389568314531
50,0.0025,-38.993895683143855
51,0.00255,-38.99389568314246
52,0.0026,-38.993895683141005
53,0.00265,-38.9938956831396
54,0.0027,-38.99389568313815
55,0.00275,-38.99389568313675
56,0.0028,-38.99389568313531
57,0.00285,-38.9938956831339
58,0.0029,-38.99389568313269
59,0.00295,-38.9938956831313
60,0.003,-38.993895683129786
61,0.00305,-38.99389568312832
62,0.0031,-38.99389568312684
63,0.00315,-38.9938956831254
64,0.0032,-38.99389568312408
65,0.00325,-38.99389568312267
66,0.0033,-38.99389568312132
67,0.00335,-38.99389568311989
68,0.0034,-38.99389568311851
69,0.00345,-38.99389568311706
70,0.0035,-38.993895683115674
71,0.00355,-38.993895683114225
72,0.0036,-38.993895683112825
73,0.00365,-38.993895683111376
74,0.0037,-38.993895683109976
75,0.00375,-38.99389568310853
76,0.0038,-38.99389568310713
77,0.00385,-38.993895683105926
78,0.0039,-38.99389568310453
79,0.00395,260.67239239951743
80,0.004,228.07919544105363
81,0.00405,240.0852812639008
82,0.0041,239.859350902164
83,0.00415,231.3106708177849
84,0.0042,218.29557414421606
85,0.00425,203.21369508008763
86,0.0043,187.42416649141003
87,0.00435,171.7361603434196
