name,value,bound_1,bound_2
c_p,4.50E-12,1E-14,5E-12
c_m,2.5E-11,1E-11,9E-11
a0_m,19170,1000,10000
s_m,12.83,1,10
tau_m_const,3.74E-5,1e-8,5e-5
a0_h,6.2,0.1,1
s_h,21.62,10,100
tau_h_const,0.0002,5E-5,1E-3
a0_j,0.64,0.1,1
s_j,69.4,100,1000
tau_j_const,0.0007794313,1E-04,0.01
R,100000000.0,10000000,100000000
R_f,15000000,100000,1000000
g_max,8300.4,10000,1000000
g_leak,1.0,0.1,10
tau_z,0.00015,1E-05,0.001
v_half_m,28.56,10,60
v_half_h,60.7,50,100
k_m,8.21,1,10
k_h,6.72,1,10
x_c_comp,0.01,0.01,1.1
x_r_comp,0.1,0.01,1.1
alpha,0.75,0.7,0.8
v_off,-2.,-15,15
v_rev,18,-50,50
v_c,-80,-100,100
