name,value,bound_1,bound_2
c_p,4.502963E-12,1E-14,5E-12
c_m,2.473016E-11,1E-11,9E-11
a0_m,2736.956,1000,10000
b0_m,71.35904,10,100
delta_m,20.6157,10,100
s_m,9.306083,1,10
a0_h,0.4604052,0.1,1
b0_h,503.8082,100,1000
delta_h,15.2348,10,100
s_h,21.96405,10,100
a0_j,0.4475461,0.1,1
b0_j,20613.33,10000,100000
delta_j,4.115303,1,10
s_j,167.3159,100,1000
tau_j_const,0.0007794313,1E-04,0.01
R,24946770.0,10000000,100000000
R_f,326421.4,100000,1000000
g_max,439220.4,10000,1000000
g_leak,0.4812443,0.1,10
tau_z,0.000100034,1E-05,0.001
v_half_m,24.35802,10,60
v_half_h,59.69117,50,100
k_m,5.66677,1,10
k_h,5.507771,1,10
x_c_comp,0.09929933,0.01,1.1
x_r_comp,1.02,0.01,1.1
alpha,0.75,0.7,0.8
v_off,-2.,-15,15
v_rev,18,-50,50
v_c,-80,-100,100

