name,value,bound_1,bound_2
с_p,1.502963E-12,1E-13,1E-11
c_m,2.473016E-11,1E-13,1E-09
a0_m,2736.956,100,10000
b0_m,71.35904,1,100
delta_m,20.6157,1,100
s_m,9.306083,0.1,10
a0_h,0.4604052,0.01,1
b0_h,503.8082,10,1000
delta_h,15.2348,1,100
s_h,21.96405,1,100
a0_j,0.4475461,0.01,1
b0_j,20613.33,1000,100000
delta_j,4.115303,0.1,10
s_j,167.3159,10,1000
tau_j_const,0.0007794313,1E-05,0.001
R,249467700,10000000,1000000000
R_f,126421.4,10000,1000000
g_max,439220.4,10000,1000000
g_leak,0.4812443,0.01,1000
tau_z,0.000100034,1E-05,0.001
v_half_m,24.35802,1,100
v_half_h,59.69117,1,100
k_m,5.66677,0.1,10
k_h,5.507771,0.1,10
x_c_comp,0.59929933,0.01,1.1
x_r_comp,0.8,0.01,1.1
alpha,0.75,0.01,1
v_off,-2.5,-25,25
v_rev,18,-50,50
v_c,-80,-100,100
