name,value
c_p,2.502963e-12
c_m,2.473016e-11
a0_m,99174.40000000001
b0_m,386.78015999999997
delta_m,22.823088257329694
s_m,12.8321
tau_m_const,0.0000374383
a0_h,6.2604999999999995
b0_h,110031.1313972342
delta_h,9.758335084181912
s_h,21.6256454
tau_h_const,0.0001999625
a0_j,0.64626
b0_j,11358.313070351955
delta_j,7.44533610698528
s_j,69.41735068
tau_j_const,0.00132187439
R,8.5e7
R_f,13.8e5
g_max,3000
g_leak,1.4812443
tau_z,0.0005
v_half_m,24.56
v_half_h,55.7
k_m,8.21
k_h,6.72
x_c_comp,0.909
x_r_comp,0.892
alpha,0.75
v_off,-2.0
v_rev,18.0
v_c,-80.0
